DataStructure,SampleSize,EnqueueTime,PtTime,DequeueTime
BinarySearchTreeRQ,500,0.008177362,0.015368067,0.004026188
BinarySearchTreeRQ,500,0.00875958,0.014923265,0.003825436
BinarySearchTreeRQ,500,0.008399772,0.014976284,0.003735524
BinarySearchTreeRQ,500,0.00835113,0.014626332,0.003938105
BinarySearchTreeRQ,500,0.008921062,0.014977345,0.003797156
BinarySearchTreeRQ,500,0.009736558,0.015409149,0.004194075
BinarySearchTreeRQ,500,0.008870887,0.0147808,0.003840086
BinarySearchTreeRQ,500,0.010875752,0.016566793,0.004091126
BinarySearchTreeRQ,500,0.011492283,0.016323906,0.004111975
BinarySearchTreeRQ,1000,0.011220581,0.036451891,0.00537943
BinarySearchTreeRQ,1000,0.011956878,0.037152842,0.00531188
BinarySearchTreeRQ,1000,0.010611335,0.036125952,0.005264365
BinarySearchTreeRQ,1000,0.010609333,0.036103824,0.005520465
BinarySearchTreeRQ,1000,0.012601625,0.038019784,0.005981406
BinarySearchTreeRQ,1000,0.012970392,0.038199462,0.006028876
BinarySearchTreeRQ,1000,0.010893374,0.03627615,0.005592552
BinarySearchTreeRQ,1000,0.010673983,0.035721564,0.005287153
BinarySearchTreeRQ,1000,0.010908965,0.036936264,0.005122189
BinarySearchTreeRQ,1000,0.011174163,0.036549432,0.005116379
BinarySearchTreeRQ,2000,0.01405712,0.109921406,0.008682358
BinarySearchTreeRQ,2000,0.013907966,0.11183486,0.009182592
BinarySearchTreeRQ,2000,0.014224037,0.110350256,0.008701971
BinarySearchTreeRQ,2000,0.014382014,0.109157338,0.008776749
BinarySearchTreeRQ,2000,0.014073826,0.109186176,0.009249583
BinarySearchTreeRQ,2000,0.014270287,0.112987799,0.008935743
BinarySearchTreeRQ,2000,0.014860612,0.110450882,0.008923401
BinarySearchTreeRQ,2000,0.015195066,0.110203872,0.008984968
BinarySearchTreeRQ,2000,0.014080527,0.106353188,0.009333784
BinarySearchTreeRQ,2000,0.014790794,0.109447286,0.008749614
BinarySearchTreeRQ,5000,0.021947736,0.581110616,0.015545164
