DataStructure,Operation,Iteration,Block,Time
Array,Dequeue,3,53,0.079270052
Array,Dequeue,4,53,0.077806116
Array,Dequeue,5,53,0.078118752
Array,Dequeue,6,53,0.07459251
Array,Dequeue,7,53,0.073736876
Array,Dequeue,8,53,0.095000669
Array,Dequeue,9,53,0.072623832
Array,Dequeue,10,53,0.077575592
Array,Dequeue,1,54,0.084032183
Array,Dequeue,2,54,0.073722499
Array,Dequeue,3,54,0.084641252
Array,Dequeue,4,54,0.078607359
Array,Dequeue,5,54,0.081822451
Array,Dequeue,6,54,0.076064024
Array,Dequeue,7,54,0.078238851
Array,Dequeue,8,54,0.08826886
Array,Dequeue,9,54,0.076346111
Array,Dequeue,10,54,0.078977104
Array,Dequeue,1,55,0.083758336
Array,Dequeue,2,55,0.075240064
Array,Dequeue,3,55,0.078535846
Array,Dequeue,4,55,0.074874895
Array,Dequeue,5,55,0.081463505
Array,Dequeue,6,55,0.078500524
Array,Dequeue,7,55,0.078989773
Array,Dequeue,8,55,0.097829744
Array,Dequeue,9,55,0.081138894
Array,Dequeue,10,55,0.07975101
Array,Dequeue,1,56,0.08428178
Array,Dequeue,2,56,0.077698034
Array,Dequeue,3,56,0.080017302
Array,Dequeue,4,56,0.077281918
Array,Dequeue,5,56,0.084286345
Array,Dequeue,6,56,0.082283138
Array,Dequeue,7,56,0.085863808
Array,Dequeue,8,56,0.093375178
Array,Dequeue,9,56,0.080577928
Array,Dequeue,10,56,0.080868694
Array,Dequeue,1,57,0.087248172
Array,Dequeue,2,57,0.077161963
Array,Dequeue,3,57,0.084021711
Array,Dequeue,4,57,0.078638185
Array,Dequeue,5,57,0.077164943
Array,Dequeue,6,57,0.083174238
Array,Dequeue,7,57,0.088495222
Array,Dequeue,8,57,0.094045167
Array,Dequeue,9,57,0.082469056
Array,Dequeue,10,57,0.081603025
Array,Dequeue,1,58,0.0870781
Array,Dequeue,2,58,0.08560714
Array,Dequeue,3,58,0.087333844
Array,Dequeue,4,58,0.085729341
Array,Dequeue,5,58,0.086377566
Array,Dequeue,6,58,0.079682871
Array,Dequeue,7,58,0.082156275
Array,Dequeue,8,58,0.096679646
Array,Dequeue,9,58,0.0770136
Array,Dequeue,10,58,0.080895927
Array,Dequeue,1,59,0.088989111
Array,Dequeue,2,59,0.079507219
Array,Dequeue,3,59,0.088427184
Array,Dequeue,4,59,0.08182985
Array,Dequeue,5,59,0.084237559
Array,Dequeue,6,59,0.087500222
Array,Dequeue,7,59,0.085607694
Array,Dequeue,8,59,0.106349741
Array,Dequeue,9,59,0.084076639
Array,Dequeue,10,59,0.083564974
Array,Dequeue,1,60,0.093453679
Array,Dequeue,2,60,0.080657794
Array,Dequeue,3,60,0.086819876
Array,Dequeue,4,60,0.090543652
Array,Dequeue,5,60,0.089112008
Array,Dequeue,6,60,0.089446965
Array,Dequeue,7,60,0.091662515
Array,Dequeue,8,60,0.118381522
Array,Dequeue,9,60,0.084297784
Array,Dequeue,10,60,0.086035488
Array,Dequeue,1,61,0.094061957
Array,Dequeue,2,61,0.080186215
Array,Dequeue,3,61,0.088039292
Array,Dequeue,4,61,0.087930901
Array,Dequeue,5,61,0.084356012
Array,Dequeue,6,61,0.084305777
Array,Dequeue,7,61,0.094893338
Array,Dequeue,8,61,0.111517045
Array,Dequeue,9,61,0.080674488
Array,Dequeue,10,61,0.083989097
Array,Dequeue,1,62,0.094007633
Array,Dequeue,2,62,0.086655619
Array,Dequeue,3,62,0.095205912
Array,Dequeue,4,62,0.088559603
Array,Dequeue,5,62,0.081378867
Array,Dequeue,6,62,0.081750137
Array,Dequeue,7,62,0.090512693
Array,Dequeue,8,62,0.115668635
Array,Dequeue,9,62,0.087910416
Array,Dequeue,10,62,0.090831385
Array,Dequeue,1,63,0.099199815
Array,Dequeue,2,63,0.092011192
Array,Dequeue,3,63,0.091704083
Array,Dequeue,4,63,0.088562679
Array,Dequeue,5,63,0.087397082
Array,Dequeue,6,63,0.089230143
Array,Dequeue,7,63,0.093380339
Array,Dequeue,8,63,0.102749923
Array,Dequeue,9,63,0.08652784
Array,Dequeue,10,63,0.090703096
Array,Dequeue,1,64,0.095367608
Array,Dequeue,2,64,0.088796907
Array,Dequeue,3,64,0.093359508
Array,Dequeue,4,64,0.096074231
Array,Dequeue,5,64,0.091410762
Array,Dequeue,6,64,0.087613933
Array,Dequeue,7,64,0.087664067
Array,Dequeue,8,64,0.104254142
Array,Dequeue,9,64,0.085671446
Array,Dequeue,10,64,0.092253682
Array,Dequeue,1,65,0.094605644
Array,Dequeue,2,65,0.093215651
Array,Dequeue,3,65,0.092586834
Array,Dequeue,4,65,0.086770974
Array,Dequeue,5,65,0.08996476
Array,Dequeue,6,65,0.088822083
Array,Dequeue,7,65,0.098172688
Array,Dequeue,8,65,0.118073445
Array,Dequeue,9,65,0.09766811
Array,Dequeue,10,65,0.089453561
Array,Dequeue,1,66,0.101756544
Array,Dequeue,2,66,0.10173014
Array,Dequeue,3,66,0.096745228
Array,Dequeue,4,66,0.089294492
Array,Dequeue,5,66,0.095643359
Array,Dequeue,6,66,0.098422474
Array,Dequeue,7,66,0.094653159
Array,Dequeue,8,66,0.117058737
Array,Dequeue,9,66,0.08538093
Array,Dequeue,10,66,0.097304897
Array,Dequeue,1,67,0.100427143
Array,Dequeue,2,67,0.097014795
Array,Dequeue,3,67,0.102727282
Array,Dequeue,4,67,0.097510716
Array,Dequeue,5,67,0.098205979
Array,Dequeue,6,67,0.093229492
Array,Dequeue,7,67,0.097564397
Array,Dequeue,8,67,0.115852974
Array,Dequeue,9,67,0.091507488
Array,Dequeue,10,67,0.089771296
Array,Dequeue,1,68,0.099996253
Array,Dequeue,2,68,0.099605889
Array,Dequeue,3,68,0.0989599
Array,Dequeue,4,68,0.090133122
Array,Dequeue,5,68,0.097317348
Array,Dequeue,6,68,0.099800805
Array,Dequeue,7,68,0.104854668
Array,Dequeue,8,68,0.117842351
Array,Dequeue,9,68,0.097954969
Array,Dequeue,10,68,0.104307119
Array,Dequeue,1,69,0.10343423
Array,Dequeue,2,69,0.104921035
Array,Dequeue,3,69,0.108728704
Array,Dequeue,4,69,0.103351533
Array,Dequeue,5,69,0.102155792
Array,Dequeue,6,69,0.096122118
Array,Dequeue,7,69,0.097177768
Array,Dequeue,8,69,0.112202034
Array,Dequeue,9,69,0.089732298
Array,Dequeue,10,69,0.096312535
Array,Dequeue,1,70,0.103276313
Array,Dequeue,2,70,0.094496863
Array,Dequeue,3,70,0.097766729
Array,Dequeue,4,70,0.097830435
Array,Dequeue,5,70,0.104425804
Array,Dequeue,6,70,0.099639529
Array,Dequeue,7,70,0.111408393
Array,Dequeue,8,70,0.118648279
Array,Dequeue,9,70,0.094695284
Array,Dequeue,10,70,0.100531759
Array,Dequeue,1,71,0.106153352
Array,Dequeue,2,71,0.099324614
Array,Dequeue,3,71,0.100781435
Array,Dequeue,4,71,0.104222183
Array,Dequeue,5,71,0.104392655
Array,Dequeue,6,71,0.105511463
Array,Dequeue,7,71,0.105431867
Array,Dequeue,8,71,0.123197571
Array,Dequeue,9,71,0.097918399
Array,Dequeue,10,71,0.09741031
Array,Dequeue,1,72,0.106716627
Array,Dequeue,2,72,0.094121836
Array,Dequeue,3,72,0.103550112
Array,Dequeue,4,72,0.102324497
Array,Dequeue,5,72,0.109720026
Array,Dequeue,6,72,0.101942258
Array,Dequeue,7,72,0.102681555
Array,Dequeue,8,72,0.119261536
Array,Dequeue,9,72,0.096050021
Array,Dequeue,10,72,0.099995028
Array,Dequeue,1,73,0.109552065
Array,Dequeue,2,73,0.106544394
Array,Dequeue,3,73,0.109907777
Array,Dequeue,4,73,0.104334697
Array,Dequeue,5,73,0.107756474
Array,Dequeue,6,73,0.110334546
Array,Dequeue,7,73,0.109298651
Array,Dequeue,8,73,0.118344276
Array,Dequeue,9,73,0.098696713
Array,Dequeue,10,73,0.099717799
Array,Dequeue,1,74,0.114178573
Array,Dequeue,2,74,0.108502716
